Epoch	TrainLoss	ValLoss
1	0.030840	0.027767
2	0.027699	0.026964
3	0.026927	0.026306
4	0.026513	0.025657
5	0.026264	0.026068
6	0.026073	0.025427
7	0.025901	0.026166
8	0.025766	0.025660
9	0.025652	0.025232
10	0.025537	0.026633
11	0.025498	0.025127
12	0.025395	0.024909
13	0.025350	0.025613
14	0.025278	0.025060
15	0.025216	0.025272
16	0.025176	0.024793
17	0.025124	0.024976
18	0.025096	0.024898
19	0.025064	0.025023
20	0.025037	0.025387
21	0.024981	0.024557
22	0.024972	0.024668
23	0.024952	0.024772
24	0.024933	0.024585
25	0.024923	0.024691
26	0.024913	0.024944
27	0.024878	0.025205
28	0.024861	0.024514
29	0.024837	0.024707
30	0.024834	0.024968
31	0.024792	0.024946
32	0.024790	0.024757
33	0.024778	0.024409
34	0.024773	0.024961
35	0.024751	0.025519
36	0.024743	0.024754
37	0.024724	0.024752
38	0.024720	0.024882
39	0.024721	0.024479
40	0.024694	0.024610
41	0.024685	0.024677
42	0.024671	0.025183
43	0.024678	0.024777
1	0.032340	0.028679	2.000000e-04
2	0.028047	0.026945	4.000000e-04
1	0.032340	0.028679	2.000000e-04
2	0.028047	0.026945	4.000000e-04
3	0.027560	0.026843	6.000000e-04
4	0.027285	0.026956	8.000000e-04
5	0.027119	0.027299	1.000000e-03
6	0.026651	0.026652	9.755527e-04
7	0.026312	0.025988	9.046040e-04
8	0.025996	0.026345	7.940987e-04
9	0.025668	0.025586	6.548540e-04
10	0.025304	0.025364	5.005000e-04
11	0.024983	0.024959	3.461460e-04
12	0.024619	0.024398	2.069013e-04
13	0.024320	0.024159	9.639601e-05
14	0.024061	0.024128	2.544727e-05
15	0.023894	0.023979	1.000000e-03
16	0.025660	0.025366	9.938503e-04
17	0.025547	0.025424	9.755527e-04
18	0.025427	0.025140	9.455578e-04
19	0.025322	0.025567	9.046040e-04
20	0.025213	0.025159	8.536998e-04
21	0.025049	0.024978	7.940987e-04
22	0.024929	0.024910	7.272683e-04
23	0.024796	0.024663	6.548540e-04
24	0.024642	0.024288	5.786390e-04
25	0.024494	0.024177	5.005000e-04
26	0.024363	0.024300	4.223610e-04
27	0.024217	0.024476	3.461460e-04
28	0.024081	0.024198	2.737317e-04
29	0.023955	0.024056	2.069013e-04
30	0.023843	0.023892	1.473002e-04
31	0.023729	0.023859	9.639601e-05
32	0.023640	0.023742	5.544224e-05
33	0.023567	0.023667	2.544727e-05
34	0.023507	0.023595	7.149674e-06
35	0.023472	0.023591	1.000000e-03
36	0.025030	0.025289	9.984602e-04
37	0.025027	0.024980	9.938503e-04
38	0.024976	0.024526	9.861988e-04
39	0.024948	0.024660	9.755527e-04
40	0.024934	0.024847	9.619778e-04
41	0.024865	0.024585	9.455578e-04
42	0.024831	0.024743	9.263938e-04
43	0.024805	0.024755	9.046040e-04
44	0.024746	0.024569	8.803228e-04
45	0.024687	0.024472	8.536998e-04
46	0.024636	0.024323	8.248993e-04
47	0.024579	0.024414	7.940987e-04
48	0.024534	0.024607	7.614880e-04
49	0.024488	0.024696	7.272683e-04
50	0.024435	0.024424	6.916504e-04
51	0.024381	0.024219	6.548540e-04
52	0.024313	0.024278	6.171060e-04
53	0.024252	0.024202	5.786390e-04
54	0.024202	0.024062	5.396903e-04
55	0.024135	0.024102	5.005000e-04
56	0.024083	0.024323	4.613097e-04
57	0.024028	0.024174	4.223610e-04
58	0.023961	0.023924	3.838940e-04
59	0.023902	0.024009	3.461460e-04
60	0.023846	0.024045	3.093496e-04
61	0.023786	0.023937	2.737317e-04
62	0.023737	0.023788	2.395120e-04
63	0.023688	0.023780	2.069013e-04
64	0.023635	0.023818	1.761007e-04
65	0.023591	0.023731	1.473002e-04
66	0.023547	0.023737	1.206772e-04
67	0.023505	0.023605	9.639601e-05
68	0.023468	0.023590	7.460624e-05
69	0.023434	0.023629	5.544224e-05
70	0.023400	0.023555	3.902217e-05
71	0.023375	0.023532	2.544727e-05
72	0.023353	0.023506	1.480122e-05
73	0.023335	0.023502	7.149674e-06
74	0.023323	0.023494	2.539792e-06
75	0.023315	0.023486	1.000000e-03
76	0.024669	0.025028	9.996149e-04
77	0.024682	0.024384	9.984602e-04
78	0.024674	0.024925	9.965377e-04
79	0.024654	0.024606	9.938503e-04
80	0.024650	0.024586	9.904022e-04
81	0.024631	0.024438	9.861988e-04
82	0.024620	0.024507	9.812464e-04
83	0.024601	0.024274	9.755527e-04
84	0.024597	0.024582	9.691266e-04
85	0.024583	0.024681	9.619778e-04
86	0.024572	0.024440	9.541175e-04
87	0.024557	0.024468	9.455578e-04
88	0.024524	0.025167	9.363118e-04
89	0.024524	0.024366	9.263938e-04
90	0.024510	0.024439	9.158191e-04
91	0.024473	0.024512	9.046040e-04
92	0.024451	0.024614	8.927658e-04
93	0.024436	0.024586	8.803228e-04
94	0.024415	0.024291	8.672941e-04
95	0.024391	0.024205	8.536998e-04
96	0.024370	0.024310	8.395610e-04
97	0.024344	0.024392	8.248993e-04
98	0.024332	0.024665	8.097374e-04
99	0.024305	0.024394	7.940987e-04
100	0.024289	0.024197	7.780073e-04
1	0.032340	0.028679	2.000000e-04
2	0.028047	0.026945	4.000000e-04
3	0.027560	0.026843	6.000000e-04
4	0.027285	0.026956	8.000000e-04
5	0.027119	0.027299	1.000000e-03
6	0.026651	0.026652	9.755527e-04
7	0.026312	0.025988	9.046040e-04
8	0.025996	0.026345	7.940987e-04
